state_name,metro,geo_name,federal_workers,margin_of_error,share_of_employment
NA,25850,"Hermitage, PA",1185,639,0.02443399727823828
North Carolina,25860,"Hickory-Lenoir-Morganton, NC",3009,1232,0.01673023674758415
Michigan,25880,"Hillsdale, MI",231,140,0.011686143572621035
Hawaii,25900,"Hilo-Kailua, HI",1775,754,0.02034267377227666
South Carolina,25940,"Hilton Head Island-Bluffton-Port Royal, SC",2869,1240,0.029816156220446255
Georgia,25980,"Hinesville, GA",2433,886,0.07645413694497691
New Mexico,26020,"Hobbs, NM",706,510,0.0207433524313207
Michigan,26090,"Holland, MI",829,523,0.013760478047970787
Florida,26140,"Homosassa Springs, FL",871,507,0.015749312888760306
Oregon,26220,"Hood River, OR",46,74,0.0037057923145089825
Arkansas,26300,"Hot Springs, AR",708,517,0.016911905216892797
Michigan,26340,"Houghton, MI",238,242,0.012915830032018235
Louisiana,26380,"Houma-Bayou Cane-Thibodaux, LA",1244,689,0.014248244739946627
Texas,26420,"Houston-Pasadena-The Woodlands, TX",60272,5407,0.016309936418525003
New York,26460,"Hudson, NY",546,530,0.01951184647821892
Pennsylvania,26500,"Huntingdon, PA",433,302,0.024570163990240028
Indiana,26540,"Huntington, IN",193,170,0.010214342418629266
Kentucky,26580,"Huntington-Ashland, WV-KY-OH",5522,1283,0.03452350436701699
Ohio,26580,"Huntington-Ashland, WV-KY-OH",5522,1283,0.03452350436701699
West Virginia,26580,"Huntington-Ashland, WV-KY-OH",5522,1283,0.03452350436701699
Alabama,26620,"Huntsville, AL",24849,2914,0.09348371587330848
Texas,26660,"Huntsville, TX",620,642,0.01979249800478851
South Dakota,26700,"Huron, SD",381,220,0.03833769370094586
Kansas,26740,"Hutchinson, KS",100,99,0.0034055305816646235
Minnesota,26780,"Hutchinson, MN",179,164,0.009370746518689143
Idaho,26820,"Idaho Falls, ID",5201,1270,0.06630376583972872
Pennsylvania,26860,"Indiana, PA",396,288,0.010842482819045533
Indiana,26900,"Indianapolis-Carmel-Greenwood, IN",29063,3505,0.02609268681144548
